key,de,english,french,ukrainian,italian,swedish,turkish,russian
inputStreetNumber,Straße mit Nummer,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
inputPostcode,Postleitzahl,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
inputPlace,Ort,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
inputCountry,Land,GERMAN_FALLBACK,OK,OK,MISSING,MISSING,MISSING,MISSING
inputPatientID,Patienten-ID,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
inputBirthday,"Geburtsdatum (TT[.]MM[.]JJJJ, . optional)",OK,OK,OK,MISSING,MISSING,MISSING,MISSING
inputInsuranceNumber,Versichertennummer,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
inputInsuranceType,Versichertenart,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
selectSelfInsurance,selbstversichert,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
selectFamilyInsurance,familienversichert,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
selectPensionerInsurance,rentnerversichert,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
selectInvoiceCompany,Rechnung an Firma ?,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
buttonTakeDataPersonCompany,Daten übernehmen,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
columnCategory,Kategorie,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
columnBranch,Filiale,OK,GERMAN_FALLBACK,OK,MISSING,MISSING,MISSING,MISSING
columnCode,Code,GERMAN_FALLBACK,GERMAN_FALLBACK,OK,MISSING,MISSING,MISSING,MISSING
columnDescription,Beschreibung,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
columnMWST,Mwst,GERMAN_FALLBACK,OK,OK,MISSING,MISSING,MISSING,MISSING
columnSoldpriceBrutto,Verkaufs- preis Brutto,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
shortnameDoctorTherapy,Kürzel Arzt/Therapeut,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
shortnameEmployees,Kürzel Mitarbeiter,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
accountCompany,Konto,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
paymentMethods,Zahlungsarten,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
unset,noch nicht gewählt,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
pleaseSelect,++ Bitte wählen Sie ++,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
bar,Bar,GERMAN_FALLBACK,GERMAN_FALLBACK,OK,MISSING,MISSING,MISSING,MISSING
ec,EC,GERMAN_FALLBACK,GERMAN_FALLBACK,GERMAN_FALLBACK,MISSING,MISSING,MISSING,MISSING
paymentInAdvance,Vorkasse,OK,GERMAN_FALLBACK,OK,MISSING,MISSING,MISSING,MISSING
transfer,Überweisung,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
goodwill,Kulanz,OK,GERMAN_FALLBACK,OK,MISSING,MISSING,MISSING,MISSING
selectReducement,Rabatt,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
code,Code,GERMAN_FALLBACK,GERMAN_FALLBACK,OK,MISSING,MISSING,MISSING,MISSING
description,Beschreibung,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
value,Wert,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
remark,Bemerkung,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
coupon,Gutschein,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
takeData,Übernehmen,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
overtakeInvoice,Rechnung übernehmen,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
searchSurname,Suche per Nachname,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
surname,Nachname: ,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
searchAdress,Suche Adressen,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
overtake,Übernehmen,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
invoiceText,Rechnungstext,GERMAN_FALLBACK,OK,OK,MISSING,MISSING,MISSING,MISSING
lawHint,rechtliche Hinweise,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
greetings,Grußformel,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
editSalutation,Anrede anpassen,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
removeSalutation,Anrede löschen,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
questionRemoveSalutation,  Anrede wirklich löschen ?,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
newSalutation,neue Anrede,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
takeDataToInvoice,Übernehmen in Rechnung,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
save,Speichern,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
legendReplacementtags,Legende der Ersetzungstags :,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
legendSalutation,<Anrede> = Anrede (Herr/Frau/Leeres Feld(Divers),OK,OK,OK,MISSING,MISSING,MISSING,MISSING
legendTitle,<Titel> = Titel (Dr./Prof./Prof.Dr./...),OK,OK,OK,MISSING,MISSING,MISSING,MISSING
legendFirstname,<Vorname> = Vorname,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
legendExtraname,<Namenszusatz> = Namenszusatz (von/zu/...),OK,OK,OK,MISSING,MISSING,MISSING,MISSING
legendSurname,<Nachname> = Nachname,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
legendTreatmentDate,<Behandlungsdatum> = Behandlungsdatum (TT.MM.JJJJ),OK,OK,OK,MISSING,MISSING,MISSING,MISSING
legendYouYourChild,<SieIhrKind> = Sie/Ihr Kind,MISSING,OK,OK,MISSING,MISSING,MISSING,MISSING
legendCommunityName,<Gesellschaftsname> = Name der Gesellschaft,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
