key,de,english,french,ukrainian,italian,swedish,turkish,russian
loginTab2FA,2FA,GERMAN_FALLBACK,GERMAN_FALLBACK,OK,MISSING,MISSING,MISSING,MISSING
loginTabQRCode,QR-Code,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
tab2FAhint,QR-Code für 2FA,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
label2FACode,2FA-Code : ,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
loginTab2FALogin,2FA-Login,GERMAN_FALLBACK,GERMAN_FALLBACK,OK,MISSING,MISSING,MISSING,MISSING
loginTab2FARegister,2FA-Registrierung,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
loginTab2FAQRCode,QRCode anfordern,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
invoiceRecipient,Rechnungsempfänger,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
invoiceNoRecipient,Kein .lbd-Empfänger gefunden - bitte konfigurieren.,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
invoiceCustomerFile,Kundendatei,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
invoiceUser,Benutzer,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
invoiceProductCode,Code,GERMAN_FALLBACK,GERMAN_FALLBACK,OK,MISSING,MISSING,MISSING,MISSING
invoiceZugferdNote,Diese Rechnung enthält die maschinenlesbare ZUGFeRD/Factur-X XML im PDF.,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
net,Netto,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
vat,MwSt,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
gross,Gesamt,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
bank,Bankverbindung,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
invoiceTaxNumberVatId,Steuernummer/USt-ID,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
invoicePortalTitle,Digitales Rechnungsportal,DUPLICATE,OK,OK,MISSING,MISSING,MISSING,MISSING
invoicePortalHelp,Wählen Sie die gewünschte Sprache und laden Sie Ihre Rechnung erneut herunter.,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
company,company,GERMAN_FALLBACK,OK,GERMAN_FALLBACK,MISSING,MISSING,MISSING,MISSING
invoiceReadAloud,Vorlesen,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
invoiceFallbackPdfNote,Debug-/Fallback-PDF; verbindlich ist der ZUGFeRD/Factur-X-Export.,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
invoiceReducedTotal,Endbetrag nach Abzug,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
invoiceInstallments,Ratenzahlung,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
invoiceInstallmentApprox,Raten à ca.,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
invoicePreviewTitle,Rechnungsvorschau,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
invoicePreviewHelp,"Rechter Vorschau-Teil nach Alt-GAM-Prinzip: Anrede, Rechnungstext, Positionen, rechtlicher Hinweis und Grußformel.",OK,OK,OK,MISSING,MISSING,MISSING,MISSING
invoiceNoLines,Noch keine Positionen übernommen.,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
invoicePortalQrHint,Diese Rechnung digital abrufen: QR-Code scannen oder Link öffnen.,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
select Society,,OK,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
legendYourChild,,OK,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
invoicePost Address,,OK,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
invoicePaymentMethodnoch not selected,,OK,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
ttsRate,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
ttsVoiceAuto,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
ttsVoice,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
ttsEngine,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
ttsSettings,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
ttsAuto,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
ttsLanguage,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
invoiceTypePaymentAdvice,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
users,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
compliance,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
previewTitle,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
lbdMissingPlaceholder,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
step31ModuleOverviewShort,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
demoReadOnlyShell,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
proformaFailed,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
saveFailed,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
selectAtLeastOneLine,,DUPLICATE,OK,MISSING,MISSING,MISSING,MISSING,MISSING
mandatoryZugferd,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
loadingNumber,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
remove,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
addPosition,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
quantity,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
product,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
installmentCount,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
installments,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
amount,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
percent,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
discountValue,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
discountType,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
discount,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
voucherAmount,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
voucherText,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
voucher,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
reason,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
paymentMethod,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
saveInvoice,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
editChangesSave,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
cancelInvoice,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
createCreditNote,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
technicalDelete,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
accessLinkError,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
qrAltPortal,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
openPortal,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
patientPortalHint,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
patientPortalDigital,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
zugferdIssues,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
zugferdReady,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
exportCheckLoading,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
zugferdPdf,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
pleaseSelectInvoice,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
search,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
searchPlaceholder,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
pleaseChoose,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
pleaseSelectCompany,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
invoiceEdit,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
usersRights,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
checks,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
role,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
step31ModuleOverview,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
statusLoading,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
notFound,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
found,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
notConnected,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
connected,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
noPasskey,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
passkeyUnsupported,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
usernameRequired,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
setupFirst,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
totpSaved,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
setupCreated,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
setupExisting,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
seconds,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
tooManyAttempts,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
wait,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
passkeyStatus,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
passkeyLoginButton,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
passkeyLoginHint,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
passkeyHint,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
totpLoginButton,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
totpCode,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
totpSave,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
totpCodeConfirm,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
totpQrCreate,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
totpRegisterHint,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
legacyLoginHint,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
uiLanguage,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
chooseApplication,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
moduleVisibilityHint,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
username,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
password,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
login,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
passwordLogin,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
totpRegister,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
totpLogin,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
passkeyRegister,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
passkeyLogin,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
inventory,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
warehouse,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
cashbook,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
tasks,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
approval,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
orders,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
personnel,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
workplace,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
price,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
readOnly,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
invoiceSearch,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
newInvoice,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
invoicePreview,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
invoiceList,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
patientPortal,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
language,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
pdfLanguage,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
reducedTotal,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
approx,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
previewHelp,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
readAloud,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
stopReading,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
accessibilityNote,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
qty,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
tax,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
lineTotal,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
noLines,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
total,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
recipient,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
date,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
payment,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
notes,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
taxNo,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
noRecipient,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
module.invoice,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
module.invoices,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
module.inventory,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
module.warehouse,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
module.cashbook,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
module.tasks,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
module.approval,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
module.approvals,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
module.orders,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
module.personnel,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
module.workplace,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
module.price,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
module.priceList,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
module.checks,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
module.compliance,,OK,OK,MISSING,MISSING,MISSING,MISSING,MISSING
selectSociété,,MISSING,OK,MISSING,MISSING,MISSING,MISSING,MISSING
branche,,MISSING,OK,MISSING,MISSING,MISSING,MISSING,MISSING
invoicePaymentMethodpas encore choisi,,MISSING,OK,MISSING,MISSING,MISSING,MISSING,MISSING
invoiceQRCodeNote,,MISSING,OK,MISSING,MISSING,MISSING,MISSING,MISSING
ttsBrowser,,MISSING,OK,MISSING,MISSING,MISSING,MISSING,MISSING
accounts,,MISSING,OK,MISSING,MISSING,MISSING,MISSING,MISSING
db,,MISSING,OK,MISSING,MISSING,MISSING,MISSING,MISSING
reports,,MISSING,OK,MISSING,MISSING,MISSING,MISSING,MISSING
dashboard,,MISSING,OK,MISSING,MISSING,MISSING,MISSING,MISSING
module.dashboard,,MISSING,OK,MISSING,MISSING,MISSING,MISSING,MISSING
module.reports,,MISSING,OK,MISSING,MISSING,MISSING,MISSING,MISSING
tabReduction,,MISSING,MISSING,OK,MISSING,MISSING,MISSING,MISSING
invoiceReduction,,MISSING,MISSING,OK,MISSING,MISSING,MISSING,MISSING
invoicePaymentMethodnot yet selected,,MISSING,MISSING,OK,MISSING,MISSING,MISSING,MISSING
invoiceTransfer0,,MISSING,MISSING,OK,MISSING,MISSING,MISSING,MISSING
Rate,,MISSING,MISSING,OK,MISSING,MISSING,MISSING,MISSING
